"","X","GHQ","sex","cases","non.cases"
"1",1,0,"female",4,80
"2",2,1,"female",4,29
"3",3,2,"female",8,15
"4",4,3,"female",6,3
"5",5,4,"female",4,2
"6",6,5,"female",6,1
"7",7,6,"female",3,1
"8",8,7,"female",2,0
"9",9,8,"female",3,0
"10",10,9,"female",2,0
"11",11,10,"female",1,0
"12",12,0,"male",1,36
"13",13,1,"male",2,25
"14",14,2,"male",2,8
"15",15,3,"male",1,4
"16",16,4,"male",3,1
"17",17,5,"male",3,1
"18",18,6,"male",2,1
"19",19,7,"male",4,2
"20",20,8,"male",3,1
"21",21,9,"male",2,0
"22",22,10,"male",2,0
